店家代號,2022年1月,2022年2月,2022年3月,2022年4月,2022年5月,2022年6月,2022年7月,2022年8月,2022年9月,2021年1月,2021年2月,2021年3月,2021年4月,2021年5月,2021年6月,2021年7月,2021年8月,2021年9月,2021年10月,2021年11月,2021年12月
385,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
391,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
392,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
393,0,0,0,25,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
401,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
402,0,0,0,0,0,0,0,4,0,0,0,20,20,-10,0,90,0,0,0,0,0
411,0,0,20,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2
412,30,0,45,0,0,0,40,0,0,0,10,10,0,10,30,0,50,0,0,0,0
416,0,0,0,0,3,0,0,0,0,0,0,20,0,0,0,2,0,0,0,12,0
418,0,0,0,0,1,10,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0
419,30,0,0,30,0,20,20,0,20,0,0,30,50,0,50,0,0,0,10,1,55
425,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
426,0,0,0,0,0,8,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
430,0,0,2,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,1,4
432,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
438,0,5,5,0,5,0,0,0,0,0,5,0,5,0,5,0,0,0,0,30,0
440,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
443,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
446,0,3,0,10,0,0,2,0,3,0,2,2,5,10,0,0,0,0,0,0,0
451,0,0,0,30,0,0,28,5,0,0,0,0,10,45,15,0,0,0,0,0,0
470,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
474,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
482,0,0,1,8,0,1,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0
486,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0
487,0,0,3,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,15,0
489,0,0,3,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0
491,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6
504,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0
508,0,12,0,5,0,20,10,0,10,0,0,0,10,0,0,10,10,0,0,0,0
517,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,2,0
519,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
521,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
525,0,0,35,0,0,40,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2
529,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
530,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
531,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10,0,10
534,8,0,5,80,0,0,0,0,0,4,5,0,20,3,4,0,23,0,0,0,0
540,0,0,30,400,0,30,0,0,0,20,5,10,60,30,0,0,80,0,0,0,0
542,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
544,6,0,0,0,0,0,0,80,6,0,0,0,1,2,0,0,14,0,4,0,0
547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
557,0,1,135,0,0,0,10,0,0,0,0,0,30,0,20,0,0,0,0,0,0
558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
