店家代號,2022年1月,2022年2月,2022年3月,2022年4月,2022年5月,2022年6月,2022年7月,2022年8月,2022年9月,2021年1月,2021年2月,2021年3月,2021年4月,2021年5月,2021年6月,2021年7月,2021年8月,2021年9月,2021年10月,2021年11月,2021年12月
91,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,2,0,11,10,0,0,0,0,0,0,0,0,6,0,13,0,0,0,10,0,0
93,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
94,0,0,12,0,17,0,0,8,0,0,10,15,0,0,13,0,15,0,0,15,0
95,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
96,0,0,30,0,20,0,0,20,0,0,10,0,20,10,20,0,20,10,0,0,10
97,0,0,20,0,0,0,0,20,0,0,0,0,10,0,40,0,0,0,0,0,0
98,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,1,0,0,0,0,0,0,0,0,0,2,1,3,2,0,0,0,4,0,0,0
102,20,0,0,40,0,0,30,0,0,10,10,0,10,10,40,0,0,30,0,0,0
103,0,0,20,30,0,0,0,0,0,0,20,0,10,10,20,0,0,20,10,0,10
104,12,10,0,60,0,0,0,0,0,0,7,0,15,0,27,0,0,0,7,0,0
105,4,0,0,6,0,0,0,0,4,0,0,0,0,0,1,3,0,0,0,0,0
106,5,5,0,10,10,0,6,0,4,0,0,3,3,0,0,5,7,0,5,0,6
107,0,0,15,15,0,0,4,0,6,7,11,0,0,0,0,0,0,14,0,6,0
108,0,0,3,0,0,0,0,0,4,0,0,0,5,4,0,5,0,0,0,5,0
109,0,25,20,0,0,0,0,0,0,0,0,0,28,12,13,0,0,0,0,0,0
110,0,10,0,0,0,10,8,0,0,10,0,10,10,0,17,0,0,0,0,14,15
111,10,10,10,20,13,0,10,0,5,10,0,50,20,5,0,10,15,5,0,35,20
112,10,18,0,0,14,5,0,12,0,6,2,11,43,43,0,0,0,10,0,10,0
113,2,0,4,0,11,0,0,6,0,0,0,0,20,0,0,0,1,0,0,5,0
114,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,0,20,0,26,0,0,0,15,8,15,0,10,35,0,38,2,0,0,10,8,20
116,0,10,0,0,0,0,0,10,0,10,0,0,20,0,20,0,0,0,20,0,0
