店家代號,2022年1月,2022年2月,2022年3月,2022年4月,2022年5月,2022年6月,2022年7月,2022年8月,2022年9月,2021年1月,2021年2月,2021年3月,2021年4月,2021年5月,2021年6月,2021年7月,2021年8月,2021年9月,2021年10月,2021年11月,2021年12月
155,0,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0
156,0,0,0,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,0,0,0,0,4,0,8,5,0,0,0,0,0,0,0,0,0,0,0,25,12
160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
163,0,0,0,4,3,0,5,5,0,0,0,0,0,0,0,0,0,0,0,10,0
165,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
167,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3
171,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,10,0,0
172,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
176,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
178,0,0,10,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0
179,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
181,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,20,0,0
182,0,0,3,1,7,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
183,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
186,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,0,0,0,0,1,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,0,0,0,1,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
193,2,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
